iteracao,y_hat_mistakes,y_hat_syntax
124,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 3 4 3 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 2]
125,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 2 4 4 2]
126,[2 0 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 3]
127,[2 0 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 4 3 4 3 4 4 4 4 4 4 4 3 4 3 4 4 2 4 4 3]
128,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 3 4 3 4 4 4 4 4 4 4 4 4 4 3 4 2 4 3 3]
129,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 3]
130,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 3 3 4 3 4 4 4 4 4 3 3 4 4 3 3 3 2 4 3 3]
131,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 3 4 3 4 4 4 4 4 3 3 3 4 3 3 3 2 4 3 2]
132,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 3 3 3 4 3 3 3 2 4 3 3]
133,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 3 3 3 4 3 3 3 2 4 3 2]
134,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 3 4 4 3 4 3 4 3 3 3 2 4 3 2]
135,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 3 3 4 4 4 4 4 3 3 3 4 3 3 3 2 4 3 2]
136,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 3 3 4 4 3 4 3 3 3 3 4 3 3 3 2 4 3 2]
137,[2 0 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 3 4 4 3 3 3 3 4 3 3 3 2 4 3 2]
138,[2 0 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 3 3 4 4 4 4 3 3 3 3 4 3 3 3 2 4 3 2]
139,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 3 3 4 4 4 4 4 3 3 3 4 3 3 3 2 4 3 2]
140,[2 0 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 3 4 4 3 3 3 4 3 3 3 2 4 3 2]
141,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 3 3 4 4 3 4 3 3 3 3 4 3 3 3 2 4 3 3]
142,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 3 4 3 3 3 3 4 3 3 3 2 4 3 2]
143,[2 0 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 3 3 4 4 3 4 3 3 3 3 4 3 3 3 2 4 3 2]
144,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 3 3 4 3 3 4 3 3 3 3 4 3 3 3 2 3 3 2]
145,[2 1 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 3 3 4 4 3 4 3 3 3 3 4 2 3 3 2 4 3 2]
146,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 3 4 3 3 3 3 4 2 3 3 2 4 3 2]
147,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 2 3 3 3 4 4 3 4 4 3 3 3 4 3 3 3 2 4 3 2]
148,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 3 3 4 3 3 4 3 3 3 3 4 3 3 3 2 4 3 2]
149,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 3 3 4 4 3 4 3 3 3 3 3 3 3 3 2 4 3 2]
150,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 3 3 4 4 4 4 3 3 3 3 4 3 3 3 2 4 3 2]
151,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 3 3 4 4 3 4 3 3 3 3 4 3 3 3 2 4 3 2]
152,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 3 3 4 4 3 4 4 3 3 3 4 3 3 3 2 4 3 2]
153,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 3 4 3 3 3 3 4 3 3 3 2 4 3 3]
154,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 3 3 4 4 4 4 4 3 3 3 4 3 3 3 2 4 3 2]
155,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 3 3 3 4 3 3 3 2 4 3 2]
156,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 3 3 4 3 3 3 2 4 4 2]
157,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 3 4 3 3 3 2 4 3 3]
158,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 3 3 4 2 4 4 3]
159,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 3]
160,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 3]
161,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 3 2 3 2 2 4 3 4 4 4 4 4 4 4 4 4 4 4 4 3 4 3 4 4 3]
162,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 3]
163,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 3 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3]
164,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 3 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
165,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3]
166,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
167,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[3 2 4 2 4 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
168,[2 1 2 1 2 0 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 3 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
169,[2 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
170,[2 1 2 1 2 0 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
171,[2 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
172,[2 0 1 1 2 0 1 2 2 2 2 2 2 2 3 2 2 2 2 3 2 2 2 2 2 2 2],[2 2 4 2 4 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
173,[2 0 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 3 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
174,[2 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
175,[1 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3]
176,[1 0 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2],[2 2 2 2 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
177,[1 1 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 3]
178,[2 0 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 3]
179,[1 0 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 3]
180,[2 0 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 3]
181,[2 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 3]
182,[2 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 3 4 3 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
183,[2 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
184,[1 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 4 4 4 4 4 4 4 4 4 4 3 3 3 2 4 4 2]
185,[2 1 1 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 3 3 4 2 4 4 2]
186,[1 1 2 1 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 3 3 4 2 4 4 2]
187,[2 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 4 3 4 3 3 4 2 4 4 2]
188,[2 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 4 4 4 4 4 4 4 3 2 3 2 4 4 2]
189,[2 1 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 3 4 4 2 2 4 2 4 3 2]
190,[2 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 4 3 4 2 3 3 2 4 3 2]
191,[2 1 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 2 4 4 2 2 3 2 4 3 2]
192,[2 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 2 4 4 4 4 4 4 3 3 4 2 3 4 2 4 4 2]
193,[2 1 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 4 2 4 2 3 3 2 4 3 2]
194,[2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 2 3 4 2 2 3 2 4 3 2]
195,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 4 3 4 2 3 3 2 4 4 2]
196,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 3 3 4 2 3 3 2 4 4 2]
197,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 4 4 4 4 2 3 4 2 4 3 2]
198,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 4 4 4 4 3 3 4 2 4 3 2]
199,[2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 2]
200,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 2]
201,[2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 2]
202,[2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 4 4 4 4 4 4 4 4 3 4 4 3 4 2 4 4 2]
203,[2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 3 4 3 2 4 2 4 4 2]
204,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 4 3 4 3 4 4 2 4 4 2]
205,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 4 3 4 3 4 4 2 4 3 2]
206,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
207,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 3 4 4 3 4 2 4 4 2]
208,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 3]
209,[2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 3 3 4 3 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 3]
210,[2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 4 4 4 4 4 4 4 3 3 3 2 4 4 2]
211,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 3 3 4 2 4 4 3]
212,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 4 4 4 4 4 4 4 3 3 3 2 4 4 2]
213,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 4 4 3 3 4 2 4 4 2]
214,[2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 3 4 3 3 3 2 4 4 2]
215,[2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 4 4 4 4 4 3 4 2 3 3 2 4 3 2]
216,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 4 3 4 2 3 3 2 4 3 2]
217,[2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 4 4 4 4 3 3 4 3 3 3 2 4 3 2]
218,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 4 4 4 4 4 3 4 2 3 3 2 4 4 2]
219,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 2 3 4 3 2 3 2 4 3 2]
220,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 3 3 4 2 3 3 2 4 3 2]
221,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 3 3 3 3 4 2 2 3 2 4 3 2]
222,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 3 3 3 3 4 3 2 3 2 4 3 2]
223,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 3 4 3 4 3 3 4 2 3 3 2 4 3 2]
224,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 3 4 3 4 3 3 4 3 2 3 2 4 3 2]
225,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 3 3 3 4 2 3 3 2 4 3 2]
226,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 4 4 3 3 3 3 4 2 3 3 2 4 3 2]
227,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 3 4 4 3 3 3 4 3 3 3 2 4 3 2]
228,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 4 3 3 4 3 3 3 2 4 3 2]
229,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 3 3 3 4 2 3 3 2 4 3 2]
230,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 3 4 3 3 3 2 4 3 3 3 2 4 3 2]
231,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 3 3 3 3 4 3 3 3 2 4 3 2]
232,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 2 4 4 3 4 3 3 2 3 4 2 2 3 2 4 3 2]
233,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 2 4 4 3 4 4 3 3 3 4 3 2 3 2 4 3 2]
234,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 3 3 2 3 4 2 2 3 2 4 3 2]
235,[2 0 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 2 4 4 3 4 4 3 2 3 4 2 2 3 2 4 3 2]
236,[2 0 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 2 4 4 3 4 3 3 3 2 4 2 2 3 2 4 3 2]
237,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 2 4 4 3 4 4 3 2 2 4 2 2 3 2 4 2 2]
238,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 3 3 4 4 4 4 4 3 3 3 4 2 2 3 2 4 3 2]
239,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 3 2 3 4 2 3 3 2 4 3 2]
240,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 3 2 3 4 2 2 3 2 4 2 2]
241,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 3 3 4 4 2 3 3 2 4 4 2]
242,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 2 4 3 4 2 4 4 2 2 3 2 4 3 2]
243,[2 0 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 3 2 3 4 4 2 3 2 4 4 2]
244,[2 0 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 4 3 4 4 2 3 4 2 4 4 2]
245,[2 0 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 4 4 2 4 4 4 4 4 4 3 4 4 3 3 4 2 4 3 2]
246,[2 0 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 3 4 4 4 2 3 2 4 3 2]
